,Theta,Phi,A1,A2,delvec,delang,norm
100,3.89,53.989999999999824,"[-34.825976877399995, -164.510167308]","[-159.8829874778, -52.0948863142]",0.003004098628180236,6.9749686133491196e-06,291.25475112854497
101,3.89,53.989999999999824,"[-34.825976877399995, -164.510167308]","[125.05701060039999, -112.4152809938]",0.003004098628180236,8.098790473809458e-07,291.2547739761085
102,3.89,53.989999999999824,"[34.825976877399995, 164.510167308]","[159.8829874778, 52.0948863142]",0.003004098628180236,6.9749686133491196e-06,291.25475112854497
103,3.89,53.989999999999824,"[34.825976877399995, 164.510167308]","[-125.05701060039999, 112.4152809938]",0.003004098628180236,8.098790473809458e-07,291.2547739761085
104,3.89,61.8899999999998,"[1412.0359411798, 71.28773916680001]","[767.7551312677999, -1187.2150407394001]",0.0022534731825475597,7.590741972762771e-06,2448.8329591700126
105,3.89,61.8899999999998,"[1412.0359411798, 71.28773916680001]","[644.2808099119999, 1258.5027799062]",0.0022534731825475597,4.460715558707307e-06,2448.832661787484
106,3.89,61.8899999999998,"[-1412.0359411798, -71.28773916680001]","[-767.7551312677999, 1187.2150407394001]",0.0022534731825475597,7.590741972762771e-06,2448.8329591700126
107,3.89,61.8899999999998,"[-1412.0359411798, -71.28773916680001]","[-644.2808099119999, -1258.5027799062]",0.0022534731825475597,4.460715558707307e-06,2448.832661787484
108,3.89,61.8899999999998,"[767.7551312677999, -1187.2150407394001]","[1412.0359411798, 71.28773916680001]",0.0025349875864515174,7.590741972762771e-06,2448.8329591700126
109,3.89,61.8899999999998,"[767.7551312677999, -1187.2150407394001]","[-644.2808099119999, -1258.5027799062]",0.0025349875864515174,3.13002639984461e-06,2448.8326946236525
110,3.89,61.8899999999998,"[-767.7551312677999, 1187.2150407394001]","[-1412.0359411798, -71.28773916680001]",0.0025349875864515174,7.590741972762771e-06,2448.8329591700126
111,3.89,61.8899999999998,"[-767.7551312677999, 1187.2150407394001]","[644.2808099119999, 1258.5027799062]",0.0025349875864515174,3.13002639984461e-06,2448.8326946236525
112,3.89,61.8899999999998,"[-644.2808099119999, -1258.5027799062]","[-1412.0359411798, -71.28773916680001]",0.002556620274076378,4.460715558707307e-06,2448.832661787484
113,3.89,61.8899999999998,"[-644.2808099119999, -1258.5027799062]","[767.7551312677999, -1187.2150407394001]",0.002556620274076378,3.13002639984461e-06,2448.8326946236525
114,3.89,61.8899999999998,"[644.2808099119999, 1258.5027799062]","[1412.0359411798, 71.28773916680001]",0.002556620274076378,4.460715558707307e-06,2448.832661787484
115,3.89,61.8899999999998,"[644.2808099119999, 1258.5027799062]","[-767.7551312677999, 1187.2150407394001]",0.002556620274076378,3.13002639984461e-06,2448.8326946236525
116,3.89,63.88999999999979,"[80.7329968146, 2.7418361217999987]","[42.7410076344, -68.545903045]",0.0003246339118467135,7.611951630792646e-06,139.91427732116782
117,3.89,63.88999999999979,"[80.7329968146, 2.7418361217999987]","[37.9919891802, 71.2877391668]",0.0003246339118467135,4.254139042814131e-06,139.91426059153494
118,3.89,63.88999999999979,"[-80.7329968146, -2.7418361217999987]","[-37.9919891802, -71.2877391668]",0.0003246339118467135,4.254139042814131e-06,139.91426059153494
119,3.89,63.88999999999979,"[-80.7329968146, -2.7418361217999987]","[-42.7410076344, 68.545903045]",0.0003246339118467135,7.611951630792646e-06,139.91427732116782
120,3.89,63.88999999999979,"[121.89099829759999, -19.1928528526]","[77.5669845118, 95.964264263]",0.0004971437312461056,1.5996079412161635e-06,213.72256903832078
121,3.89,63.88999999999979,"[42.7410076344, -68.545903045]","[80.7329968146, 2.7418361217999987]",0.0003415004602500388,7.611951630792646e-06,139.91427732116782
122,3.89,63.88999999999979,"[42.7410076344, -68.545903045]","[-37.9919891802, -71.2877391668]",0.0003415004602500388,3.3578126021893695e-06,139.9142618552377
123,3.89,63.88999999999979,"[42.7410076344, -68.545903045]","[161.4659936292, 5.483672243599997]",0.0003415004602500388,7.611951630792646e-06,213.72258729184657
124,3.89,63.88999999999979,"[120.30799214620001, 27.418361217999998]","[83.8990091174, -90.48059201939999]",0.0004971435032188135,6.876170964176254e-06,213.72258729184657
125,3.89,63.88999999999979,"[-37.9919891802, -71.2877391668]","[-80.7329968146, -2.7418361217999987]",0.00034150012830303346,4.254139042814131e-06,139.91426059153494
126,3.89,63.88999999999979,"[-37.9919891802, -71.2877391668]","[42.7410076344, -68.545903045]",0.00034150012830303346,3.3578126021893695e-06,139.9142618552377
127,3.89,63.88999999999979,"[-37.9919891802, -71.2877391668]","[-161.4659936292, -5.483672243599997]",0.00034150012830303346,4.254139042814131e-06,213.72256903832078
128,3.89,63.88999999999979,"[37.9919891802, 71.2877391668]","[80.7329968146, 2.7418361217999987]",0.00034150012830303346,4.254139042814131e-06,139.91426059153494
