n1,n2,m1,m2,norm_m1m2,err_m1,err_m2,delvec,m1_true,m2_true,angle
-258,-224,-40,-14,42.37924020083418,2.422882360519907e-6,-6.922519109053837e-6,0.00023595445756875,-39.99999757711764,-14.000006922519109,14.55
-224,258,-14,40,42.37924020083418,-6.922519109053837e-6,-2.422882367625334e-6,0.00023595445741968413,-14.000006922519109,39.99999757711763,14.55
224,-258,14,-40,42.37924020083418,6.922519109053837e-6,2.422882367625334e-6,0.00023595445741968413,14.000006922519109,-39.99999757711763,14.55
258,224,40,14,42.37924020083418,-2.422882360519907e-6,6.922519109053837e-6,0.00023595445756875,39.99999757711764,14.000006922519109,14.55
-370,-95,-47,6,47.38143096192854,-1.0383771851252277e-6,-8.133960288425612e-6,0.00026380510324879226,-47.000001038377185,5.999991866039712,14.55
-353,146,-34,33,47.38143096192854,-5.711077918135743e-6,-5.884141913270469e-6,0.00026380510308719084,-34.00000571107792,32.99999411585809,14.55
-146,-353,-33,-34,47.38143096192854,5.884141913270469e-6,-5.71107792524117e-6,0.00026380510319224667,-32.99999411585809,-34.000005711077925,14.55
-95,370,6,47,47.38143096192854,-8.133960286649256e-6,1.038377192230655e-6,0.0002638051031371891,5.999991866039713,47.00000103837719,14.55
95,-370,-6,-47,47.38143096192854,8.133960286649256e-6,-1.038377192230655e-6,0.0002638051031371891,-5.999991866039713,-47.00000103837719,14.55
146,353,33,34,47.38143096192854,-5.884141913270469e-6,5.71107792524117e-6,0.00026380510319224667,32.99999411585809,34.000005711077925,14.55
353,-146,34,-33,47.38143096192854,5.711077918135743e-6,5.884141913270469e-6,0.00026380510308719084,34.00000571107792,-32.99999411585809,14.55
370,95,47,-6,47.38143096192854,1.0383771851252277e-6,8.133960288425612e-6,0.00026380510324879226,47.000001038377185,-5.999991866039712,14.55
-482,34,-54,26,59.93329625508679,-4.4996367378757895e-6,-9.345401469573744e-6,0.0003336899937126006,-54.00000449963674,25.99999065459853,14.55
-34,-482,-26,-54,59.93329625508679,9.345401469573744e-6,-4.499636744981217e-6,0.0003336899938136535,-25.99999065459853,-54.000004499636745,14.55
34,482,26,54,59.93329625508679,-9.345401469573744e-6,4.499636744981217e-6,0.0003336899938136535,25.99999065459853,54.000004499636745,14.55
482,-34,54,-26,59.93329625508679,4.4996367378757895e-6,9.345401469573744e-6,0.0003336899937126006,54.00000449963674,-25.99999065459853,14.55
-465,275,-41,53,67.00746227100382,-9.172337477991732e-6,-7.095583100635849e-6,0.0003730767546419665,-41.00000917233748,52.9999929044169,14.55
-18,1,-2,1,2.23606797749979,-3.572821285047212e-6,-7.145674482011977e-6,0.0002570210430728718,-2.000003572821285,0.999992854325518,16.26
