# LAMMPS data file written by OVITO Basic 3.10.1

43784 atoms
3 atom types

0.0 81.8757336506 xlo xhi
0.0 81.8757336506 ylo yhi
0.0 135.328557986 zlo zhi

Masses

1 137.3269999647  # Ba
2 15.9989999959  # O
3 47.8669999877  # Ti

Atoms  # atomic

137 3 78.9099292261 77.7430480492 42.13445
138 2 78.9099292261 77.7430480492 2.94969
139 2 80.2712837761 76.2844538885 5.06358
140 2 77.4513350655 76.3816934992 5.06358
141 2 78.9099292261 77.7430480492 7.05235
142 2 80.2712837761 76.2844538885 9.16624
143 2 77.4513350655 76.3816934992 9.16624
144 2 78.9099292261 77.7430480492 11.155
145 2 80.2712837761 76.2844538885 13.26889
146 2 77.4513350655 76.3816934992 13.26889
147 2 78.9099292261 77.7430480492 15.25766
148 2 80.2712837761 76.2844538885 17.37155
149 2 77.4513350655 76.3816934992 17.37155
150 2 78.9099292261 77.7430480492 19.36032
151 2 80.2712837761 76.2844538885 21.4742
152 2 77.4513350655 76.3816934992 21.4742
153 2 78.9099292261 77.7430480492 23.46297
154 2 80.2712837761 76.2844538885 25.57686
155 2 77.4513350655 76.3816934992 25.57686
156 2 78.9099292261 77.7430480492 27.56563
157 2 80.2712837761 76.2844538885 29.67951
158 2 77.4513350655 76.3816934992 29.67951
159 2 78.9099292261 77.7430480492 31.66828
160 2 80.2712837761 76.2844538885 33.78217
161 2 77.4513350655 76.3816934992 33.78217
162 2 78.9099292261 77.7430480492 35.77094
163 2 80.2712837761 76.2844538885 37.88482
164 2 77.4513350655 76.3816934992 37.88482
165 2 78.9099292261 77.7430480492 39.87359
166 2 80.2712837761 76.2844538885 41.98748
167 2 77.4513350655 76.3816934992 41.98748
168 2 78.9099292261 77.7430480492 43.97625
169 1 81.5353918921 72.0059183279 3.08742
170 1 81.5353918921 72.0059183279 7.19007
171 1 81.5353918921 72.0059183279 11.29273
172 1 81.5353918921 72.0059183279 15.39538
173 1 81.5353918921 72.0059183279 19.49804
174 1 81.5353918921 72.0059183279 23.6007
175 1 81.5353918921 72.0059183279 27.70335
176 1 81.5353918921 72.0059183279 31.80601
177 1 81.5353918921 72.0059183279 35.90866
178 1 81.5353918921 72.0059183279 40.01132
179 1 81.5353918921 72.0059183279 44.11397
180 3 81.6326315028 74.8258670384 5.21055
181 3 81.6326315028 74.8258670384 9.3132
182 3 81.6326315028 74.8258670384 13.41586
183 3 81.6326315028 74.8258670384 17.51851
184 3 81.6326315028 74.8258670384 21.62117
185 3 81.6326315028 74.8258670384 25.72382
186 3 81.6326315028 74.8258670384 29.82648
187 3 81.6326315028 74.8258670384 33.92914
188 3 81.6326315028 74.8258670384 38.03179
189 3 81.6326315028 74.8258670384 42.13445
190 2 81.6326315028 74.8258670384 2.94969
191 2 80.1740373422 73.4645124885 5.06358
192 2 81.6326315028 74.8258670384 7.05235
193 2 80.1740373422 73.4645124885 9.16624
194 2 81.6326315028 74.8258670384 11.155
195 2 80.1740373422 73.4645124885 13.26889
196 2 81.6326315028 74.8258670384 15.25766
197 2 80.1740373422 73.4645124885 17.37155
198 2 81.6326315028 74.8258670384 19.36032
199 2 80.1740373422 73.4645124885 21.4742
200 2 81.6326315028 74.8258670384 23.46297
201 2 80.1740373422 73.4645124885 25.57686
202 2 81.6326315028 74.8258670384 27.56563
203 2 80.1740373422 73.4645124885 29.67951
204 2 81.6326315028 74.8258670384 31.66828
205 2 80.1740373422 73.4645124885 33.78217
206 2 81.6326315028 74.8258670384 35.77094
207 2 80.1740373422 73.4645124885 37.88482
208 2 81.6326315028 74.8258670384 39.87359
209 2 80.1740373422 73.4645124885 41.98748
210 2 81.6326315028 74.8258670384 43.97625
211 1 67.7273739945 80.9519552026 3.08742
212 1 67.7273739945 80.9519552026 7.19007
213 1 67.7273739945 80.9519552026 11.29273
214 1 67.7273739945 80.9519552026 15.39538
215 1 67.7273739945 80.9519552026 19.49804
216 1 67.7273739945 80.9519552026 23.6007
217 1 67.7273739945 80.9519552026 27.70335
218 1 67.7273739945 80.9519552026 31.80601
219 1 67.7273739945 80.9519552026 35.90866
220 1 67.7273739945 80.9519552026 40.01132
221 1 67.7273739945 80.9519552026 44.11397
