,degree,n1,n2,n1p,n2p,vec_del,delta_angle,norm,A1,A2
12,22.550000000000086,3,-2,-2,-3,0.01754375338800793,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
13,22.560000000000088,3,-2,-2,-3,0.015032658461185486,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
14,22.57000000000009,3,-2,-2,-3,0.012521563419883598,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
15,22.58000000000009,3,-2,-2,-3,0.010010468283226649,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
16,22.590000000000092,3,-2,-2,-3,0.007499373070332112,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
17,22.600000000000094,3,-2,-2,-3,0.004988277800326569,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
18,22.610000000000095,3,-2,-2,-3,0.0024771824923356025,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
19,22.620000000000097,3,-2,-2,-3,3.3912834521114196e-05,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
20,22.6300000000001,3,-2,-2,-3,0.0025450081611221886,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
21,22.6400000000001,3,-2,-2,-3,0.0050561034683383466,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
22,22.6500000000001,3,-2,-2,-3,0.007567198737051886,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
23,22.660000000000103,3,-2,-2,-3,0.010078293948137713,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
24,22.670000000000105,3,-2,-2,-3,0.012589389082471217,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
25,22.680000000000106,3,-2,-2,-3,0.015100484120934192,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
26,22.690000000000108,3,-2,-2,-3,0.01761157904439831,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
27,22.70000000000011,3,-2,-2,-3,0.02012267383374188,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
28,22.71000000000011,3,-2,-2,-3,0.02263376846984519,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
29,22.720000000000113,3,-2,-2,-3,0.025144862933580592,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
30,22.730000000000114,3,-2,-2,-3,0.027655957205827583,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
31,22.740000000000116,3,-2,-2,-3,0.030167051267462684,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
32,22.750000000000117,3,-2,-2,-3,0.032678145099359686,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
33,22.76000000000012,3,-2,-2,-3,0.03518923868240242,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
34,22.77000000000012,3,-2,-2,-3,0.03770033199745995,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
35,22.780000000000122,3,-2,-2,-3,0.040211425025415824,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
36,22.790000000000123,3,-2,-2,-3,0.042722517747143474,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
37,22.800000000000125,3,-2,-2,-3,0.04523361014352167,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
38,22.810000000000127,3,-2,-2,-3,0.04774470219542354,0.0,20.347020872547624,[11.97113729 -7.98075819  0.        ],[ -7.98075819 -11.97113729  -0.        ]
