n1,n2,m1,m2,norm_m1m2,err_m1,err_m2,delvec,m1_true,m2_true,angle
258,-491,238,-501,554.6575520084442,6.43644028741619e-6,3.057630408420664e-6,0.000028434598891652215,238.0000064364403,-500.9999969423696,2.31
491,258,501,238,554.6575520084442,-3.057630351577245e-6,6.436440230572771e-6,0.000028434598891652215,500.99999694236965,238.00000643644023,2.31
-162,155,-155,162,224.20749318432692,-5.106486156591927e-6,-4.885835693357876e-6,0.000028201449691287368,-155.00000510648616,161.9999951141643,2.5300000000000002
-155,-162,-162,-155,224.20749318432692,4.885835721779586e-6,-5.106486185013637e-6,0.000028201449691287368,-161.99999511416428,-155.00000510648619,2.5300000000000002
155,162,162,155,224.20749318432692,-4.885835721779586e-6,5.106486185013637e-6,0.000028201449691287368,161.99999511416428,155.00000510648619,2.5300000000000002
162,-155,155,-162,224.20749318432692,5.106486156591927e-6,4.885835693357876e-6,0.000028201449691287368,155.00000510648616,-161.9999951141643,2.5300000000000002
-317,-7,-317,7,317.0772776469484,-2.2065046323405113e-7,-9.992321914786828e-6,0.00003988287266396776,-317.00000022065046,6.999990007678085,2.5300000000000002
-7,317,7,317,317.0772776469484,-9.992321913010471e-6,2.2065052007747e-7,0.000039882872660415916,6.999990007678087,317.0000002206505,2.5300000000000002
7,-317,-7,-317,317.0772776469484,9.992321913010471e-6,-2.2065052007747e-7,0.000039882872660415916,-6.999990007678087,-317.0000002206505,2.5300000000000002
317,7,317,-7,317.0772776469484,2.2065046323405113e-7,9.992321914786828e-6,0.00003988287266396776,317.00000022065046,-6.999990007678085,2.5300000000000002
-338,287,-287,338,443.41064488800896,1.5485792914660124e-6,1.3149179380889109e-6,8.106567946371019e-6,-286.9999984514207,338.00000131491794,9.33
-287,-338,-338,-287,443.41064488800896,-1.3149179380889109e-6,1.5485792914660124e-6,8.106567799202146e-6,-338.00000131491794,-286.9999984514207,9.33
287,338,338,287,443.41064488800896,1.3149179380889109e-6,-1.5485792914660124e-6,8.106567799202146e-6,338.00000131491794,286.9999984514207,9.33
